17,22,27,32,37,42,47,52,57,62,Points
9.9,10.3,10.6,10.4,10.3,9.8,9.3,8.6,8.2,7.8,86
10,10.4,10.7,10.5,10.4,9.9,9.4,8.7,8.3,---,87
10.3,10.6,10.9,10.7,10.5,10.1,9.5,8.8,8.4,7.9,88
10.4,10.7,11,10.8,10.6,10.3,9.6,8.9,---,---,89
10.5,11,11.1,11,10.7,10.4,9.7,9,8.5,8,90
10.6,11.1,11.3,11.2,10.9,10.5,9.9,9.1,8.7,8.1,91
10.7,11.3,11.4,11.3,11.1,10.6,10,9.2,8.8,8.2,92
10.9,11.4,11.6,11.4,11.2,10.7,10.1,9.3,8.9,8.3,93
11,11.5,11.7,11.6,11.4,10.8,10.2,9.5,9,8.5,94
11.3,11.8,12,11.8,11.6,11.1,10.4,9.6,9.1,8.6,95
11.5,12,12.2,12,11.8,11.3,10.6,9.8,9.3,---,96
11.7,12.2,12.4,12.2,12,11.4,10.7,10,9.4,8.7,97
12,12.5,12.6,12.4,12.2,11.7,11,10.2,9.5,---,98
12.4,12.9,12.9,12.6,12.6,12.1,11.4,10.4,9.7,8.8,99
12.6,13,13.1,12.9,12.8,12.3,11.6,10.6,9.9,9,100
